"Add Option","Add Option"
"Add Options","Add Options"
"Add your attribute options quickly by putting a new option on each line;","Add your attribute options quickly by putting a new option on each line;"
"Added %d new option(s).","Added %d new option(s)."
"Admin","Admin"
"All %d value(s) already exist — nothing added.","All %d value(s) already exist — nothing added."
"Attribute options have been saved.","Attribute options have been saved."
"Batch Add Options","Batch Add Options"
"Bulk Attribute Options (add / merge)","Bulk Attribute Options (add / merge)"
"Bulk Options","Bulk Options"
"Choose one option to keep (the target).","Choose one option to keep (the target)."
"Could not add options: %s","Could not add options: %s"
"Could not save options: %s","Could not save options: %s"
"Delete","Delete"
"Drag to reorder","Drag to reorder"
"Edit labels per store view, reorder by dragging the handle, mark options to merge into a single goal, then Save. ""Merge Selected Options"" reassigns every product on a ticked option to the goal option and deletes the ticked ones — this cannot be undone.","Edit labels per store view, reorder by dragging the handle, mark options to merge into a single goal, then Save. ""Merge Selected Options"" reassigns every product on a ticked option to the goal option and deletes the ticked ones — this cannot be undone."
"Is Default","Is Default"
"Keep (target)","Keep (target)"
"Manage Options (values of your attribute) - In batch","Manage Options (values of your attribute) - In batch"
"Manage Options (values of your attribute) - One by one","Manage Options (values of your attribute) - One by one"
"Merge","Merge"
"Merge Options","Merge Options"
"Merge Selected Options","Merge Selected Options"
"Merge away","Merge away"
"Merge failed and was rolled back: %s","Merge failed and was rolled back: %s"
"Merge goal","Merge goal"
"Merged %d option(s) into ""%s"". Reassigned %d product value(s); %d obsolete option(s) deleted.","Merged %d option(s) into ""%s"". Reassigned %d product value(s); %d obsolete option(s) deleted."
"Missing attribute reference.","Missing attribute reference."
"No option data was submitted.","No option data was submitted."
"No option values were entered.","No option values were entered."
"One of the selected options is not valid for this attribute.","One of the selected options is not valid for this attribute."
"Option","Option"
"Option ID","Option ID"
"Paste one option value per line. Values that already exist are skipped. New options are added to the bottom of the list above.","Paste one option value per line. Values that already exist are skipped. New options are added to the bottom of the list above."
"Position","Position"
"Reassign all matching products and permanently delete the ticked option(s)? This cannot be undone.","Reassign all matching products and permanently delete the ticked option(s)? This cannot be undone."
"Save Options","Save Options"
"Select a merge target (the option to keep).","Select a merge target (the option to keep)."
"Select at least one option to merge into the target.","Select at least one option to merge into the target."
"Skipped %d value(s) that already exist: %s","Skipped %d value(s) that already exist: %s"
"The merge target is not a valid option of this attribute.","The merge target is not a valid option of this attribute."
"The target option cannot also be ticked to merge away. Untick it first.","The target option cannot also be ticked to merge away. Untick it first."
"This attribute needs at least two options before they can be merged.","This attribute needs at least two options before they can be merged."
"This attribute no longer exists.","This attribute no longer exists."
"This tool only supports dropdown / multiple-select attributes backed by the option table.","This tool only supports dropdown / multiple-select attributes backed by the option table."
"Tick at least one option to merge away.","Tick at least one option to merge away."
"Tick the options to merge away, then choose ONE option to keep (the target). Every product using a ticked option is reassigned to the target, and the ticked options are deleted. This cannot be undone.","Tick the options to merge away, then choose ONE option to keep (the target). Every product using a ticked option is reassigned to the target, and the ticked options are deleted. This cannot be undone."
"e.g.\nRed\nGreen\nBlue","e.g.\nRed\nGreen\nBlue"
